"Sex","Age","Ethnicity","Rate"
"M",63,"BAN",0.015005554
"M",64,"BAN",0.017079104
"M",65,"BAN",0.020833348
"M",66,"BAN",0.022570566
"M",67,"BAN",0.024790337
"M",68,"BAN",0.02985666
"M",69,"BAN",0.033365397
"M",70,"BAN",0.033955209
"M",71,"BAN",0.035671492
"M",72,"BAN",0.038014308
"M",73,"BAN",0.041999407
"M",74,"BAN",0.045221927
"M",75,"BAN",0.0473667
"M",76,"BAN",0.05222382
"M",77,"BAN",0.057989406
"M",78,"BAN",0.064176433
"M",79,"BAN",0.063746739
"M",80,"BAN",0.070467818
"M",81,"BAN",0.077897527
"M",82,"BAN",0.086110581
"M",83,"BAN",0.09518957
"M",84,"BAN",0.105225795
"M",85,"BAN",0.160222187
"M",0,"CHI",0.003159692
"M",1,"CHI",0.000273455
"M",2,"CHI",0.000180794
"M",3,"CHI",0.000135848
"M",4,"CHI",0.000219327
"M",5,"CHI",0.00029621
"M",6,"CHI",0.000295651
"M",7,"CHI",0.000289598
"M",8,"CHI",0.00021014
"M",9,"CHI",0.000133215
"M",10,"CHI",0.000119118
"M",11,"CHI",0.000124979
"M",12,"CHI",0.000150348
"M",13,"CHI",0.000183014
"M",14,"CHI",0.000191595
"M",15,"CHI",0.00022172
"M",16,"CHI",0.000348163
"M",17,"CHI",0.000469113
"M",18,"CHI",0.000504059
"M",19,"CHI",0.000444924
"M",20,"CHI",0.000380402
"M",21,"CHI",0.000396445
"M",22,"CHI",0.000394813
"M",23,"CHI",0.00044384
"M",24,"CHI",0.000426799
"M",25,"CHI",0.000335626
"M",26,"CHI",0.000367544
"M",27,"CHI",0.000388624
"M",28,"CHI",0.000432874
"M",29,"CHI",0.000501113
"M",30,"CHI",0.000543473
"M",31,"CHI",0.00059381
"M",32,"CHI",0.000675716
"M",33,"CHI",0.000779225
"M",34,"CHI",0.000904865
"M",35,"CHI",0.0010031
"M",36,"CHI",0.001031605
"M",37,"CHI",0.001082029
"M",38,"CHI",0.001104201
"M",39,"CHI",0.001306726
"M",40,"CHI",0.001506667
"M",41,"CHI",0.001548608
"M",42,"CHI",0.001675482
"M",43,"CHI",0.001740551
"M",44,"CHI",0.002016024
"M",45,"CHI",0.00237923
"M",46,"CHI",0.002573498
"M",47,"CHI",0.002851226
"M",48,"CHI",0.003275136
"M",49,"CHI",0.003336834
"M",50,"CHI",0.003490689
"M",51,"CHI",0.004137775
"M",52,"CHI",0.004825241
"M",53,"CHI",0.005778675
"M",54,"CHI",0.006767662
"M",55,"CHI",0.007890185
"M",56,"CHI",0.009001822
"M",57,"CHI",0.009586485
"M",58,"CHI",0.009978209
"M",59,"CHI",0.010859418
"M",60,"CHI",0.012266785
"M",61,"CHI",0.013584182
"M",62,"CHI",0.014218852
"M",63,"CHI",0.014046467
"M",64,"CHI",0.01591234
"M",65,"CHI",0.019086647
"M",66,"CHI",0.021150844
"M",67,"CHI",0.023464657
"M",68,"CHI",0.027950057
"M",69,"CHI",0.031116719
"M",70,"CHI",0.032031356
"M",71,"CHI",0.034017522
"M",72,"CHI",0.03628061
"M",73,"CHI",0.039878734
"M",74,"CHI",0.043240466
"M",75,"CHI",0.045682925
"M",76,"CHI",0.050168755
"M",77,"CHI",0.05617659
"M",78,"CHI",0.061976148
"M",79,"CHI",0.06151812
"M",80,"CHI",0.068283062
"M",81,"CHI",0.075791922
"M",82,"CHI",0.084126505
"M",83,"CHI",0.093377615
"M",84,"CHI",0.103646038
"M",85,"CHI",0.199841713
"M",0,"OAS",0.003261578
"M",1,"OAS",0.000298417
"M",2,"OAS",0.000191872
"M",3,"OAS",0.000139796
"M",4,"OAS",0.000236747
"M",5,"OAS",0.000308691
"M",6,"OAS",0.000303748
"M",7,"OAS",0.000317194
