age,agehrp,ethnicityew,ethhuk11,n,samesex
22,30,2,2,59,FALSE
22,30,2,5,3,FALSE
22,30,2,6,1,FALSE
22,30,3,2,1,FALSE
22,30,4,2,1,FALSE
22,30,4,4,9,FALSE
22,30,4,6,2,FALSE
22,30,4,7,1,FALSE
22,30,5,2,1,FALSE
22,30,6,6,8,FALSE
22,30,7,7,2,FALSE
22,30,8,8,1,FALSE
22,31,2,2,69,FALSE
22,31,2,3,1,FALSE
22,31,2,5,1,FALSE
22,31,4,2,2,FALSE
22,31,4,4,8,FALSE
22,31,5,2,2,FALSE
22,31,6,2,2,FALSE
22,31,6,6,7,FALSE
22,32,2,2,48,FALSE
22,32,2,6,1,FALSE
22,32,4,4,7,FALSE
22,32,4,8,1,FALSE
22,32,5,8,1,FALSE
22,32,6,6,5,FALSE
22,32,7,7,1,FALSE
22,32,8,6,1,FALSE
22,32,8,8,3,FALSE
22,33,2,2,28,FALSE
22,33,2,4,1,FALSE
22,33,2,7,2,FALSE
22,33,4,4,1,FALSE
22,33,5,2,1,FALSE
22,33,6,2,1,FALSE
22,33,6,6,8,FALSE
22,33,8,2,1,FALSE
22,33,8,8,1,FALSE
22,34,2,2,20,FALSE
22,34,2,4,1,FALSE
22,34,3,3,1,FALSE
22,34,4,2,1,FALSE
22,34,4,4,5,FALSE
22,34,5,2,1,FALSE
22,34,5,6,1,FALSE
22,34,6,6,5,FALSE
22,35,2,2,14,FALSE
22,35,2,6,1,FALSE
22,35,4,4,4,FALSE
22,35,5,8,1,FALSE
22,35,6,6,2,FALSE
22,35,7,6,1,FALSE
22,35,7,7,3,FALSE
22,36,2,2,15,FALSE
22,36,2,4,1,FALSE
22,36,6,6,3,FALSE
22,36,7,7,2,FALSE
22,37,2,2,15,FALSE
22,37,2,5,1,FALSE
22,37,2,6,1,FALSE
22,37,3,2,1,FALSE
22,37,4,4,1,FALSE
22,37,8,7,1,FALSE
22,38,2,2,9,FALSE
22,38,5,4,1,FALSE
22,38,6,7,1,FALSE
22,38,8,7,1,FALSE
22,38,8,8,2,FALSE
22,39,2,2,8,FALSE
22,39,4,2,1,FALSE
22,39,4,7,1,FALSE
22,39,6,2,1,FALSE
22,39,6,6,2,FALSE
22,39,7,7,1,FALSE
22,40,2,2,6,FALSE
22,40,2,4,1,FALSE
22,40,4,5,1,FALSE
22,40,6,6,2,FALSE
22,41,2,2,1,FALSE
22,41,6,2,1,FALSE
22,41,6,6,2,FALSE
22,41,7,7,2,FALSE
22,41,8,7,1,FALSE
22,42,2,2,10,FALSE
22,42,4,4,1,FALSE
22,42,4,6,1,FALSE
22,42,4,7,1,FALSE
22,42,5,2,1,FALSE
22,42,6,6,1,FALSE
22,43,2,2,6,FALSE
22,43,6,6,1,FALSE
22,43,6,7,1,FALSE
22,43,7,7,2,FALSE
22,43,8,6,1,FALSE
22,44,2,2,5,FALSE
22,44,2,6,1,FALSE
22,44,2,8,1,FALSE
22,45,2,2,4,FALSE
22,45,2,3,1,FALSE
22,45,6,6,1,FALSE
22,46,2,2,5,FALSE
22,47,2,2,3,FALSE
22,47,2,4,1,FALSE
22,47,6,6,2,FALSE
22,48,2,2,4,FALSE
22,49,2,2,1,FALSE
22,49,2,7,1,FALSE
22,49,5,2,1,FALSE
22,49,6,6,1,FALSE
22,50,2,2,8,FALSE
22,51,2,2,7,FALSE
22,52,2,2,4,FALSE
22,53,2,2,1,FALSE
22,53,5,6,1,FALSE
22,54,2,2,4,FALSE
22,54,4,4,1,FALSE
22,55,2,2,2,FALSE
22,55,2,7,1,FALSE
22,56,2,2,3,FALSE
22,56,6,6,1,FALSE
22,57,2,2,3,FALSE
22,58,2,2,1,FALSE
