"Age","Ethnicity","Rate","Sex"
42,"BLA",0.045270613,"F"
43,"BLA",0.038621759,"F"
44,"BLA",0.032833303,"F"
45,"BLA",0.027821199,"F"
46,"BLA",0.02539029,"F"
47,"BLA",0.021411186,"F"
48,"BLA",0.018006631,"F"
49,"BLA",0.0149601,"F"
50,"BLA",0,"F"
51,"BLA",0,"F"
52,"BLA",0,"F"
53,"BLA",0,"F"
54,"BLA",0,"F"
55,"BLA",0,"F"
56,"BLA",0,"F"
57,"BLA",0,"F"
58,"BLA",0,"F"
59,"BLA",0,"F"
60,"BLA",0,"F"
61,"BLA",0,"F"
62,"BLA",0,"F"
63,"BLA",0,"F"
64,"BLA",0,"F"
65,"BLA",0,"F"
66,"BLA",0,"F"
67,"BLA",0,"F"
68,"BLA",0,"F"
69,"BLA",0,"F"
70,"BLA",0,"F"
71,"BLA",0,"F"
72,"BLA",0,"F"
73,"BLA",0,"F"
74,"BLA",0,"F"
75,"BLA",0,"F"
76,"BLA",0,"F"
77,"BLA",0,"F"
78,"BLA",0,"F"
79,"BLA",0,"F"
80,"BLA",0,"F"
81,"BLA",0,"F"
82,"BLA",0,"F"
83,"BLA",0,"F"
84,"BLA",0,"F"
85,"BLA",0,"F"
0,"BLC",0,"F"
1,"BLC",0,"F"
2,"BLC",0,"F"
3,"BLC",0,"F"
4,"BLC",0,"F"
5,"BLC",0,"F"
6,"BLC",0,"F"
7,"BLC",0,"F"
8,"BLC",0,"F"
9,"BLC",0,"F"
10,"BLC",0.000155154,"F"
11,"BLC",0.000699607,"F"
12,"BLC",0.002713071,"F"
13,"BLC",0.005005227,"F"
14,"BLC",0.008319975,"F"
15,"BLC",0.012667768,"F"
16,"BLC",0.017903453,"F"
17,"BLC",0.02374536,"F"
18,"BLC",0.031142934,"F"
19,"BLC",0.038553801,"F"
20,"BLC",0.045574139,"F"
21,"BLC",0.051865408,"F"
22,"BLC",0.055861619,"F"
23,"BLC",0.059383102,"F"
24,"BLC",0.061584246,"F"
25,"BLC",0.062519544,"F"
26,"BLC",0.062308562,"F"
27,"BLC",0.060290941,"F"
28,"BLC",0.059500032,"F"
29,"BLC",0.057958968,"F"
30,"BLC",0.05585236,"F"
31,"BLC",0.053349942,"F"
32,"BLC",0.04857927,"F"
33,"BLC",0.049438062,"F"
34,"BLC",0.049793527,"F"
35,"BLC",0.049772611,"F"
36,"BLC",0.049480991,"F"
37,"BLC",0.04341101,"F"
38,"BLC",0.041155306,"F"
39,"BLC",0.038978385,"F"
40,"BLC",0.036922822,"F"
41,"BLC",0.035015286,"F"
42,"BLC",0.029985879,"F"
43,"BLC",0.025581711,"F"
44,"BLC",0.021747301,"F"
45,"BLC",0.018427651,"F"
46,"BLC",0.016817758,"F"
47,"BLC",0.014181722,"F"
48,"BLC",0.011927132,"F"
49,"BLC",0.009909258,"F"
50,"BLC",0,"F"
51,"BLC",0,"F"
52,"BLC",0,"F"
53,"BLC",0,"F"
54,"BLC",0,"F"
55,"BLC",0,"F"
56,"BLC",0,"F"
57,"BLC",0,"F"
58,"BLC",0,"F"
59,"BLC",0,"F"
60,"BLC",0,"F"
61,"BLC",0,"F"
62,"BLC",0,"F"
63,"BLC",0,"F"
64,"BLC",0,"F"
65,"BLC",0,"F"
66,"BLC",0,"F"
67,"BLC",0,"F"
68,"BLC",0,"F"
69,"BLC",0,"F"
70,"BLC",0,"F"
71,"BLC",0,"F"
72,"BLC",0,"F"
73,"BLC",0,"F"
74,"BLC",0,"F"
75,"BLC",0,"F"
76,"BLC",0,"F"
77,"BLC",0,"F"
78,"BLC",0,"F"
79,"BLC",0,"F"
80,"BLC",0,"F"
81,"BLC",0,"F"
82,"BLC",0,"F"
83,"BLC",0,"F"
84,"BLC",0,"F"
85,"BLC",0,"F"
0,"OBL",0,"F"
1,"OBL",0,"F"
2,"OBL",0,"F"
3,"OBL",0,"F"
4,"OBL",0,"F"
5,"OBL",0,"F"
6,"OBL",0,"F"
7,"OBL",0,"F"
8,"OBL",0,"F"
9,"OBL",0,"F"
10,"OBL",4.56e-07,"F"
11,"OBL",8.05e-06,"F"
12,"OBL",0.000104548,"F"
13,"OBL",0.000310568,"F"
14,"OBL",0.000777501,"F"
15,"OBL",0.001688022,"F"
16,"OBL",0.003249288,"F"
17,"OBL",0.00564181,"F"
18,"OBL",0.009473463,"F"
19,"OBL",0.014377119,"F"
20,"OBL",0.020175847,"F"
21,"OBL",0.026549988,"F"
22,"OBL",0.03257459,"F"
23,"OBL",0.038757324,"F"
24,"OBL",0.044115053,"F"
25,"OBL",0.048324178,"F"
26,"OBL",0.051191826,"F"
27,"OBL",0.052044391,"F"
28,"OBL",0.053411847,"F"
29,"OBL",0.053446297,"F"
30,"OBL",0.052355024,"F"
31,"OBL",0.050380618,"F"
32,"OBL",0.045878446,"F"
33,"OBL",0.04622405,"F"
34,"OBL",0.045818021,"F"
35,"OBL",0.044891818,"F"
36,"OBL",0.043639439,"F"
37,"OBL",0.037093195,"F"
38,"OBL",0.033717704,"F"
39,"OBL",0.030570035,"F"
40,"OBL",0.027713197,"F"
41,"OBL",0.025177651,"F"
42,"OBL",0.020447663,"F"
43,"OBL",0.016486787,"F"
44,"OBL",0.013204369,"F"
45,"OBL",0.010509393,"F"
46,"OBL",0.009221616,"F"
47,"OBL",0.007270248,"F"
48,"OBL",0.005701804,"F"
49,"OBL",0.004364469,"F"
50,"OBL",0,"F"
51,"OBL",0,"F"
52,"OBL",0,"F"
53,"OBL",0,"F"
54,"OBL",0,"F"
55,"OBL",0,"F"
56,"OBL",0,"F"
57,"OBL",0,"F"
58,"OBL",0,"F"
59,"OBL",0,"F"
60,"OBL",0,"F"
61,"OBL",0,"F"
62,"OBL",0,"F"
63,"OBL",0,"F"
64,"OBL",0,"F"
65,"OBL",0,"F"
66,"OBL",0,"F"
67,"OBL",0,"F"
68,"OBL",0,"F"
69,"OBL",0,"F"
70,"OBL",0,"F"
71,"OBL",0,"F"
72,"OBL",0,"F"
73,"OBL",0,"F"
74,"OBL",0,"F"
75,"OBL",0,"F"
76,"OBL",0,"F"
77,"OBL",0,"F"
78,"OBL",0,"F"
79,"OBL",0,"F"
80,"OBL",0,"F"
